buyer_county,year,prescription_rate,total_prescriptions,opioids_supplied_per_capita,high_school_graduate_includes_equivalency,some_college_or_associates_degree,bachelors_degree,graduate_or_professional_degree,median_household_income,dosage_unit,potential_pills_per_prescription,population,blind_and_disability_perc,unemployment_rate_bls,gdp_2020_dollars,white_alone,black_or_african_american_alone,american_indian_and_alaska_native_alone,asian_alone,native_hawaiian_and_other_pacific_islander_alone,some_other_race_alone,two_or_more_races,two_or_more_races!!two_races_including_some_other_race,"two_or_more_races!!two_races_excluding_some_other_race,_and_three_or_more_races",male_perc,up_to_18,from_18_to_34,from_35_to_59_years,opioid_visit_count
Somerset,2007,40,129420.8,13.3136435565226,23.60510504326657,19.91680738025617,28.80807581602442,21.11527531814999,111861.0512147078,4307656,33.284108891306495,323552,0.4728760755612699,3.1,29086165,74.54875877756898,8.730590446048858,0.12300959351201662,12.378844822470576,0,3.1521981010780338,1.0665982593215309,0.21078528335476215,0.855812975966769,49.725237365245775,38.83168101326175,15.12378148952379,33.97525924927835,NA
Sussex,2007,51.8,78465.604,24.08450071957644,37.33586255700582,24.883039786129896,21.434187765371917,9.641846202233054,89983.21142481943,3648272,46.49517513431745,151478,0.8252023396136734,3.9,4019828,93.09668730772783,1.8464727551195552,0.3162175365399596,1.6385217655369095,0,2.3184884933785765,0.7836121416971441,0.1657006297944256,0.6179115119027185,49.909557823578346,36.41093779658557,16.558546688848942,34.41453311151059,NA
Union,2007,45.6,239244.048,22.073647976396053,35.82479509675706,20.19296559011268,18.55576053097294,10.8850607564459,70505.06139198948,11581116,48.4071227552545,524658,1.3250536539993671,4.5,30020364,57.87026977573962,21.65067529705065,0.14104426121397176,4.484063904486351,0.07033153025399402,14.603799046235832,1.1798161850195747,0.3118221774946727,0.867994007524902,48.66293852376214,38.82718676199727,17.717912818630396,30.78082516623842,NA
Warren,2007,65.2,71548.524,23.830649644149194,36.3301041708889,23.945793306581276,20.018104927512734,9.8198965046681,75518.63755745238,2615104,36.550076141333115,109737,0.9422528408832025,3.8,4095694,92.52212107128862,3.2204270209683155,0.08474807949916618,2.408485743185981,0,0.932228874490828,0.8319892105670831,0.01913666311271494,0.8128525474543682,48.190674066176406,37.8114382785957,16.12243613942368,32.14105951931546,NA
Atlantic,2008,91,246319.71000000002,42.33396507327814,32.78760720931,25.730234401664703,17.1088993361005,7.359595714930582,58127.2032880177,11459000,46.52084073986608,270681,1.804707386185214,6.8,14654676,65.3976451985917,16.963510553012586,0.15183924989193923,6.286366608664812,0,8.292048573782424,2.908589816056539,0.2608236263350586,2.64776618972148,48.76478216055061,37.36278413065877,18.20153401935968,30.193215207906686,71
Bergen,2008,48.9,437576.76,18.867954047650976,24.34684400454314,21.546999276356672,28.510269185733524,16.40354058073575,90849.67720518494,16883800,38.58477310358073,894840,0.6680523892539448,4.4,60874141,75.51841670019222,5.629162755352912,0.10605247865540209,14.360332573420948,0,2.3789727772562697,2.0070627151222564,0.45360064369049213,1.5534620714317644,48.654731572124625,34.71693043920122,16.859572032388634,32.71804795994058,83
Burlington,2008,67.3,299804.675,32.03311072450755,29.841627772825003,28.10812050972783,20.98923645707693,12.305967801143217,85454.57793234271,14269950,47.59748993240349,445475,0.9803019249116113,4.9,22584237,75.51961389528033,15.883495145631068,0.22021437791121837,4.155339805825243,0.01167293338571188,1.7929176721477074,2.4167461698187327,0.3371681912565239,2.079577978562209,49.505359447780464,35.25388267482096,19.290944832105207,31.161794403123768,62
Camden,2008,94.2,487234.428,42.26400429979468,33.18970056517008,25.01491908589883,17.66156492435146,9.911831127648869,67359.8716408473,21860380,44.86624660275443,517234,2.432168032263927,5.9,22160184,66.83164679816099,19.263234822150128,0.6325956916985349,4.412316282378962,0,6.618667759660038,2.2415386459513487,0.5713081506629495,1.6702304952883995,48.513438791726756,38.48815359070979,18.987396308705925,29.941637916463673,108
Cape May,2008,107,102546.66,40.27296062104802,38.46384810054189,26.339343160663987,18.688608970417924,7.726512346120301,66378.14226999684,3859680,37.63828095425048,95838,1.5181869404620296,7.9,4684213,91.12982324338988,3.8565078570087024,0.6437947369519397,0.4820634821260878,0,1.618355975709009,2.269454704814374,0.09286504309355371,2.17658966172082,48.32947265176652,31.427339855316916,17.19329809962892,30.50714044754301,10
Cumberland,2008,90,141147,37.26570171523306,41.22380167822522,22.978849764358788,9.30208053948427,4.357446645465343,56072.190009484664,5844380,41.406335239147836,156830,2.890390869093923,7.9,5691220,68.21590256966141,19.19084358859912,0.7830134540585346,1.1713320155582478,0,7.891984951858701,2.74692342026398,0.5987374864502965,2.1481859338136835,51.354332716954666,36.205084445924435,22.85295066443281,29.000905335234187,19
Essex,2008,45.6,351427.8,17.261063353553702,27.82372278207307,21.79369030806425,19.561600880867463,12.528025787714132,60784.49098956687,13302670,37.853209108670406,770675,2.870470691277127,6.4,48081527,44.37110325364129,41.23644856781393,0.2435527297498946,4.52564310507023,0.06967917734453563,7.664579751516527,1.8889934148635936,0.2704123009050508,1.6185811139585429,48.16816427158011,39.88998133056881,19.375806104304626,29.117430944193714,125
Gloucester,2008,86.4,248711.04000000004,42.08545820885153,35.153756021351384,28.49524801458144,18.591329254003387,8.534305428980602,78137.93645273474,12114720,48.71002107505963,287860,1.2162162162162162,5.3,12721696,84.15896616410755,9.8131035920239,0.11568123393316196,2.4004724518863334,0.01806433683040367,1.7348711179045369,1.758841103314111,0.0142430348085875,1.7445980685055231,48.94497325088585,36.13012980633877,19.56799108667134,31.793268280410445,57
Hudson,2008,38.9,231617.991,14.923359852473636,27.87166030766832,19.286768897919803,21.231745289224783,11.971484399744666,61181.59500474233,8885652,38.36339293695022,595419,2.604552424427168,6.2,34867107,60.81364551685452,13.41257165122376,0.2834978393366688,11.461004771429868,0,11.844432240153573,2.184847981001614,0.7631600603944448,1.421687920607169,49.672919406334024,34.2772734443345,22.58400378608613,32.392261469402975,73
